study,task,predictor,variant,damage_type,damage_level,head_type,metric,n_rows,n_seeds,mean,sd,median,q25,q75,boot_ci_low,boot_ci_high
study1,maze,mlp,,,,,epochs,4,4,3.0,0.0,3.0,3.0,3.0,3.0,3.0
study1,maze,mlp,,,,,train_samples,4,4,384.0,0.0,384.0,384.0,384.0,384.0,384.0
study1,maze,mlp,,,,,val_samples,4,4,128.0,0.0,128.0,128.0,128.0,128.0,128.0
study1,maze,mlp,,,,,train_loss,4,4,0.4802315669755141,9.645953773596483e-05,0.4802031566699345,0.48017720567683375,0.4802575179686149,0.48016819730401034,0.480323884015282
study1,maze,mlp,,,,,train_pred_loss,4,4,0.00019939781532224998,8.886159928277319e-05,0.0001757176799704,0.00014790664787745002,0.0002272088474152,0.00013902812649270002,0.0002828599055343
study1,maze,mlp,,,,,train_anti_collapse,4,4,16.00107252597809,0.00028871474898793263,16.000972588857017,16.000934998194378,16.001110116640728,16.00088167190552,16.001367688179016
study1,maze,mlp,,,,,train_ac_mean_norm,4,4,0.018767619738355223,0.007844419662739794,0.0185076729394495,0.01202252716757355,0.025252765510231173,0.0119871846400201,0.02554805483669035
study1,maze,mlp,,,,,train_ac_cov_trace,4,4,1.2955484635313042e-05,1.3874959253309885e-05,7.442599780915771e-06,5.362461706681643e-06,1.503562270954717e-05,4.720903234556317e-06,2.662521956153796e-05
study1,maze,mlp,,,,,train_ac_cov_min_eig,4,4,1.4003979616553086e-11,1.0527144110609408e-11,1.286799529778837e-11,7.346057139326345e-12,1.952591777501511e-11,5.902319865497274e-12,2.2646260517886204e-11
study1,maze,mlp,,,,,train_ac_cov_max_eig,4,4,1.2340832313384453e-05,1.382037663067337e-05,6.721073077642359e-06,4.612282396010414e-06,1.4449622995016398e-05,4.109019073439413e-06,2.5892904432112118e-05
study1,maze,mlp,,,,,train_ac_effective_rank,4,4,1.4366898780742796,0.24832897079686322,1.4565102990602454,1.2883183451211717,1.6048818320133533,1.2382102962883357,1.6351694598602236
study1,maze,mlp,,,,,val_pred_loss,4,4,9.235195898323491e-05,2.9363266065497657e-05,9.86808190645708e-05,7.611682963215571e-05,0.00011491594841565,6.901537790326984e-05,0.00011568854006319999
study1,maze,mlp,,,,,val_cov_trace,4,4,0.0019156605121679248,0.002821905615048507,0.00060728433891195,0.0003515774878906,0.002171367363189275,0.0003394299710635,0.0046906350762583
study1,maze,mlp,,,,,val_cov_min_eig,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study1,maze,mlp,,,,,val_cov_max_eig,4,4,0.0018344468262512,0.002800472560074459,0.0005224967608228001,0.00028491327248045,0.00207203031459355,0.0002803128736559,0.00458863969834055
study1,maze,mlp,,,,,val_effective_rank,4,4,1.6444192470554408,0.39213411198872383,1.7017089714214406,1.4789609133682111,1.8671673051086703,1.2958057959779077,1.9357429737669742
study1,maze,mlp,,,,,val_aliasing_rate,4,4,0.6899395288984316,0.026306991386517178,0.6874770970125493,0.6740406850700968,0.7033759408408841,0.6699486920075155,0.7118125812978754
study1,maze,spiking,,,,,epochs,4,4,3.0,0.0,3.0,3.0,3.0,3.0,3.0
study1,maze,spiking,,,,,train_samples,4,4,384.0,0.0,384.0,384.0,384.0,384.0,384.0
study1,maze,spiking,,,,,val_samples,4,4,128.0,0.0,128.0,128.0,128.0,128.0,128.0
study1,maze,spiking,,,,,train_loss,4,4,0.4801177910218636,2.557495999707599e-05,0.4801210090517998,0.48009941478570295,0.48013938528796035,0.4800961340467135,0.4801394479970137
study1,maze,spiking,,,,,train_pred_loss,4,4,9.81522676586979e-05,2.637222026009657e-05,0.00010217933110348485,8.357839449975775e-05,0.000116753204262425,7.725456066509142e-05,0.00011897586167225001
study1,maze,spiking,,,,,train_anti_collapse,4,4,16.00065497557322,0.0002064469083517899,16.000677744547524,16.000505208969116,16.00082751115163,16.000454505284626,16.00083009401957
study1,maze,spiking,,,,,train_ac_mean_norm,4,4,0.0157006941735744,0.003591126364023967,0.0162586732767522,0.013440270908176875,0.018519096542149727,0.012064610607922025,0.01864894758909935
study1,maze,spiking,,,,,train_ac_cov_trace,4,4,2.0021038835693616e-06,1.0615949995014533e-06,1.870025812422682e-06,1.153603989223484e-06,2.7185257067685598e-06,1.116136218115571e-06,2.8880715490231523e-06
study1,maze,spiking,,,,,train_ac_cov_min_eig,4,4,9.162702714615722e-12,4.694886203220161e-12,7.347680189978556e-12,6.068851801308007e-12,1.0441531103286272e-11,6.041545302232221e-12,1.3500428205914794e-11
study1,maze,spiking,,,,,train_ac_cov_max_eig,4,4,1.6594446492490533e-06,1.0505063536598857e-06,1.5052493438361125e-06,7.868554519063764e-07,2.3778385411787895e-06,7.790632707838085e-07,2.539826027714298e-06
study1,maze,spiking,,,,,train_ac_effective_rank,4,4,2.1550648457953745,0.6083251783612741,2.070528606326426,1.6803478942232295,2.5452455578985704,1.6536781943171919,2.656451497273557
study1,maze,spiking,,,,,val_pred_loss,4,4,5.160370278645132e-05,1.619347078386585e-05,4.745060869026929e-05,4.097615533282806e-05,5.8078156143892556e-05,3.984502700404846e-05,6.597493847948499e-05
study1,maze,spiking,,,,,val_cov_trace,4,4,0.00017322615167355,5.060236102779447e-05,0.00018504539912095,0.00015077874195405,0.00020749280884045,0.000129609474242875,0.0002109945999109
study1,maze,spiking,,,,,val_cov_min_eig,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
