phase,study,variant,damage_type,damage_level,seed,status,segments,active_segments,total_length,tube_area,junction_area,surface,delivered_traffic,normalized_surface,gate_entropy,load_gini,surface_degradation,traffic_degradation
phase1_pilot,study3,sparsity,none,0.0,2,complete,256.0,154.0,56.264331958888604,12.483511530660147,2.1157316251259957,14.599243155786143,67.53476478284611,0.2161737469667271,0.5493059447132765,0.6072584571095254,,
phase1_pilot,study3,sparsity,uniform,0.05,2,complete,256.0,145.0,53.259205778535694,11.872606555871556,2.0633901523600024,13.935996708231558,64.84251719512946,0.2149206617649497,0.5195802625039562,0.6252438290307607,-0.0012530852017773875,2.6922475877166505
phase1_pilot,study3,sparsity,uniform,0.1,2,complete,256.0,138.0,50.080539984939264,11.105054264656978,1.9894317681611693,13.094486032818148,61.15630852631794,0.2141150495544042,0.4917711358509451,0.6531692728193843,-0.0020586974123228963,6.3784562565281675
phase1_pilot,study3,sparsity,uniform,0.15,2,complete,256.0,132.0,48.68942611365485,10.751627084465127,1.9023137912577408,12.653940875722869,56.281738508084516,0.22483208957123613,0.4703550839838221,0.661067345211183,0.00865834260450904,11.253026274761595
phase1_pilot,study3,sparsity,spatial,0.05,2,complete,256.0,147.0,53.77317686418293,11.929474066367721,2.0364376974593252,13.965911763827046,62.726965440847735,0.2226460608041147,0.5235637146645364,0.6210953516899083,0.006472313837387611,4.8077993419983756
phase1_pilot,study3,sparsity,spatial,0.1,2,complete,256.0,135.0,50.12658676802129,11.156575948363802,2.0027030563545414,13.159279004718343,61.536739306787354,0.21384426849422722,0.4926797812992049,0.6559177778500056,-0.0023294784724998685,5.998025476058757
phase1_pilot,study3,sparsity,spatial,0.15,2,complete,256.0,132.0,47.273888165327676,10.48921183740898,1.9307574799754048,12.419969317384385,57.286029297545696,0.21680625219643965,0.46516986421539985,0.6738314417722242,0.00063250522971256,10.248735485300415
phase1_pilot,study3,sparsity,load_targeted,0.05,2,complete,256.0,141.0,51.55056433849786,10.969975638229332,1.8415471569639053,12.811522795193238,49.04410393783458,0.26122452576195754,0.5188043657100956,0.5765194296867098,0.04505077879523045,18.490660845011533
phase1_pilot,study3,sparsity,load_targeted,0.1,2,complete,256.0,128.0,46.70470053631743,9.58098018870605,1.6419872733596594,11.222967462065709,38.86337585271026,0.2887800458125986,0.48535922185648894,0.5798171518024786,0.0726062988458715,28.671388930135848
phase1_pilot,study3,sparsity,load_targeted,0.15,2,complete,256.0,116.0,42.28234280256066,8.423275426316534,1.4813923484755618,9.904667774792095,31.692270780380184,0.31252628883249794,0.45367231198599045,0.5888128363431178,0.09635254186577086,35.842494002465926
phase1_pilot,study3,euclidean_length,none,0.0,2,complete,256.0,130.0,41.38942297358567,8.433527440318032,1.9157329928805218,10.349260433198554,54.99698473709655,0.18817868799152523,0.5491862155784114,0.6133669039109684,,
phase1_pilot,study3,euclidean_length,uniform,0.05,2,complete,256.0,124.0,39.27419387709813,8.026968068908047,1.8686092303840987,9.895577299292146,53.025609776823245,0.18661883077016828,0.5217196240547404,0.6325885788040477,-0.0015598572213569584,1.9713749602733017
phase1_pilot,study3,euclidean_length,uniform,0.1,2,complete,256.0,119.0,37.278251710540346,7.622857978484018,1.8309492192928412,9.45380719777686,51.311436889631274,0.18424366513588697,0.4964569429804434,0.6544033703874048,-0.003935022855638265,3.6855478474652728
phase1_pilot,study3,euclidean_length,uniform,0.15,2,complete,256.0,112.0,35.122469979938344,7.120371470811609,1.7185948155286463,8.838966286340256,45.58405278908066,0.19390479221537144,0.46572759028434785,0.6725093075994049,0.005726104223846201,9.412931948015888
phase1_pilot,study3,euclidean_length,spatial,0.05,2,complete,256.0,120.0,39.28673937783864,7.982879969184273,1.8202561290904755,9.803136098274749,50.499575430716796,0.19412313891198926,0.5190371216836139,0.6326566320844893,0.005944450920464028,4.497409306379751
phase1_pilot,study3,euclidean_length,spatial,0.1,2,complete,256.0,115.0,36.94793574498782,7.539598673216799,1.8059625371417882,9.345561210358587,50.20025670620852,0.1861656059488062,0.49044323579419385,0.6572428206223453,-0.002013082042719022,4.796728030888026
phase1_pilot,study3,euclidean_length,spatial,0.15,2,complete,256.0,113.0,35.30296714092579,7.2255011808889655,1.7793448903501183,9.004846071239085,48.67755761390838,0.18498968540722924,0.47019666801237303,0.6720206017626902,-0.003189002584295997,6.31942712318817
